Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.MaterialManager.Materials.CrackedLavaMaterial,,,Cracked Lava Material,Cracked Lava Material,مادة الحمم البركانية المتشققة,Rissiges Lavamaterial,Material de lava agrietada,Matériau de Lave fissurée,दरारों वाला लावा मटीरियल,Material Lava Retak,Materiale Di Lava Incrinata,ひび割れた溶岩素材,갈라진 용암 재질,Materiał spękana lawa,Material de lava rachada,,วัสดุลาวาแตกระแหง,Kırıklı Lav Malzeme,Vật Liệu Dung Nham Bị Nứt,裂纹熔岩材质,裂纹熔岩材质,裂紋熔岩材質
Studio.MaterialManager.Materials.DiamondPlateMaterial,,,Diamond Plate Material,Diamond Plate Material,مادة اللوحة الماسية,Diamantplattenmaterial,Material de placa de diamante,Matériau de plaque de diamant,डायमंड प्लेट मटीरियल,Material Pelat Diamond,Materiale Piastra Diamante,ダイヤモンド板の素材,다이아몬드판 재질,Materiał płyta diamentowa,Material de placa de diamante,,วัสดุแผ่นเพชร,Baklavalı Sac Malzeme,Vật Liệu Tấm Kim Cương,花纹板材质,花纹板材质,菱形板材質
Studio.MaterialManager.Materials.FabricMaterial,,,Fabric Material,Fabric Material,مادة القماش,Stoffmaterial,Material de tela,Matériau textile,फै़ब्रिक मटीरियल,Material Kain,Materiale Tessuto,生地の素材,직물 재질,Materiał tkanina,Material de tecido,,วัสดุผ้า,Kumaş Malzeme,Vật Liệu Vải,布料材质,布料材质,布料材質
Studio.MaterialManager.Materials.FoilMaterial,,,Foil Material,Foil Material,مادة الرقائق المعدنية,Alufolienmaterial,Material de papel aluminio,Matériau d'aluminium,फ़ॉइल मटीरियल,Material Kertas Logam,Materiale in Lamina,ホイル素材,포일 재질,Materiał folia,Material de papel alumínio,,วัสดุฟอยล์,Folyo Malzeme,Vật Liệu Lá Kim Loại,锡箔材质,锡箔材质,金屬箔材質
Studio.MaterialManager.Materials.ForceFieldMaterial,,,Force Field Material,Force Field Material,مادة مجال القوة,Kraftfeldmaterial,Material de campo de fuerza,Matériau du champ de force,फ़ोर्स फ़ील्ड मटीरियल,Material Medan Gaya,Materiale del campo di forza,力場の素材,역장 재질,Materiał pole siłowe,Material de campo de força,,วัสดุสนามพลัง,Güç Alanı Malzeme,Vật Liệu Trường Lực,力场材质,力场材质,力場材質
Studio.MaterialManager.Materials.GlacierMaterial,,,Glacier Material,Glacier Material,مادة النهر الجليدي,Gletschermaterial,Material de glaciar,Matériau du glacier,ग्लेशियर मटीरियल,Material Gletser,Materiale Del Ghiacciaio,氷河の素材,빙하 재질,Materiał lodowiec,Material de geleira,,วัสดุธารน้ำแข็ง,Buzul Malzeme,Vật Liệu Sông Băng,冰川材质,冰川材质,冰河材質
Studio.MaterialManager.Materials.GlassMaterial,,,Glass Material,Glass Material,مادة الزجاج,Glasmaterial,Material de vidrio,Matériau en verre,ग्लास मटीरियल,Material Kaca,Materiale Vetro,ガラス素材,유리 재질,Materiał szkło,Material de vidro,,วัสดุแก้ว,Cam Malzeme,Vật Liệu Kính,草材质,草材质,玻璃材質
Studio.MaterialManager.Materials.GraniteMaterial,,,Granite Material,Granite Material,مادة الجرانيت,Granitmaterial,Material de granito,Matériau de granite,ग्रेनाइट मटीरियल,Material Granit,Materiale Granito,大理石素材,화강암 재질,Materiał granit,Material de granito,,วัสดุแกรนิต,Granit Malzeme,Vật Liệu Đá Granite,花岗岩材质,花岗岩材质,花崗岩材質
Studio.MaterialManager.Materials.GrassMaterial,,,Grass Material,Grass Material,مادة الأعشاب,Grasmaterial,Material de hierba,Matériau d'herbe,ग्रास मटीरियल,Material Rumput,Materiale Erba,草の素材,잔디 재질,Materiał trawa,Material de grama,,วัสดุหญ้า,Çim Malzeme,Vật Liệu Cỏ,草材质,草材质,草材質
Studio.MaterialManager.Materials.GroundMaterial,,,Ground Material,Ground Material,مادة الأرض,Bodenmaterial,Material de suelo,Matériau de sol,ग्राउंड मटीरियल,Material Daratan,Materiale Terra,地面の素材,토양 재질,Materiał grunt,Material de chão,,วัสดุพื้นดิน,Zemin Malzeme,Vật Liệu Mặt Đất,土地材质,土地材质,土地材質
Studio.MaterialManager.Materials.IceMaterial,,,Ice Material,Ice Material,مادة الجليد,Eismaterial,Material de hielo,Matériau de glace,आइस मटीरियल,Material Es,Materiale Ghiaccio,氷素材,얼음 재질,Materiał lód,Material de gelo,,วัสดุน้ำแข็ง,Buz Malzeme,Vật Liệu Băng,冰材质,冰材质,冰材質
Studio.MaterialManager.Materials.LeafyGrassMaterial,,,Leafy Grass Material,Leafy Grass Material,مادة الأعشاب الورقية,Laubiges Grasmaterial,Material de hierba espesa,Matériau d'herbe à feuilles,पत्तेदार ग्रास मटीरियल,Material Rumput Berdaun,Materiale Erba a Foglie,草地の素材,무성한 잔디 재질,Materiał liściasta trawa,Material de grama alta,,วัสดุเขียวชอุ่ม,Yapraklı Çim Malzeme,Vật Liệu Cỏ Sả,绿叶草材质,绿叶草材质,綠葉草材質
Studio.MaterialManager.Materials.LimestoneMaterial,,,Limestone Material,Limestone Material,مادة الحجر الجيري,Kalksteinmaterial,Material de piedra caliza,Matériau calcaire,लाइमस्टोन मटीरियल,Material Batu Kapur,Materiale Calcareo,ライムストーン素材,석회암 재질,Materiał wapień,Material de calcário,,วัสดุหินปูน,Kireç Taşı Malzeme,Vật Liệu Đá Vôi,石灰岩材质,石灰岩材质,石灰岩材質
Studio.MaterialManager.Materials.MarbleMaterial,,,Marble Material,Marble Material,مادة الرخام,Marmormaterial,Material de mármol,Matériau marbre,संगमरमर मटीरियल,Material Marmer,Materiale Marmo,大理石の素材,대리석 재질,Materiał marmur,Material de mármore,,วัสดุหินอ่อน,Mermer Malzeme,Vật Liệu Đá Cảm Thạch,大理石材质,大理石材质,大理石材質
Studio.MaterialManager.Materials.MetalMaterial,,,Metal Material,Metal Material,مادة معدنية,Metallmaterial,Material de metal,Matériau de métal,मेटल मटीरियल,Material Logam,Materiale Metallico,金属の素材,금속 재질,Materiał metal,Material de metal,,วัสดุโลหะ,Metal Malzeme,Vật Liệu Kim Loại,金属材质,金属材质,金屬材質
Studio.MaterialManager.Materials.MudMaterial,,,Mud Material,Mud Material,مادة الطين,Schlammmaterial,Material de barro,Matériau de boue,मड मटीरियल,Material Lumpur,Materiale Fango,泥素材,진흙 재질,Materiał błoto,Material de lama,,วัสดุโคลน,Çamur Malzeme,Vật Liệu Bùn,泥材质,泥材质,泥材質
Studio.MaterialManager.Materials.NeonMaterial,,,Neon Material,Neon Material,مادة النيون,Neonmaterial,Material de neón,Matériel néon,नियॉन मटीरियल,Material Neon,Materiale Neon,ネオン素材,네온 재질,Materiał neon,Material de neon,,วัสดุนีออน,Neon Malzeme,Vật Liệu Đèn Neon,霓虹材质,霓虹材质,霓虹材質
Studio.MaterialManager.Materials.PavementMaterial,,,Pavement Material,Pavement Material,مادة الرصيف,Pflastermaterial,Material de pavimento,Matériau trottoir,फु़टपाथ मटीरियल,Material Pavement,Materiale Pavimentazione,鋪道の素材,보도 재질,Materiał chodnik,Material de pavimento,,วัสดุทางเท้า,Kaldırım Malzeme,Vật Liệu Lề Đường,人行道材质,人行道材质,人行道材質
