Key,Context,Example,Source,en-us
Studio.TerrainEditor.Operations.PasteName,,,Paste,Paste
Studio.TerrainEditor.Operations.PasteDescription,,,Pasting voxels to the target transform.,Pasting voxels to the target transform.
Studio.TerrainEditor.Operations.DuplicateName,,,Duplicate,Duplicate
Studio.TerrainEditor.Operations.DuplicateDescription,,,Duplicating voxels to the target transform.,Duplicating voxels to the target transform.
Studio.TerrainEditor.Operations.FillName,,,Fill,Fill
Studio.TerrainEditor.Operations.FillDescription,,,Filling voxels in the selection with {material}.,Filling voxels in the selection with {material}.
Studio.TerrainEditor.Operations.ReplaceName,,,Replace,Replace
Studio.TerrainEditor.Operations.ReplaceDescription,,,Replacing {source} voxels in the selection with {target}.,Replacing {source} voxels in the selection with {target}.
Studio.TerrainEditor.Dialog.Cancel,,,Cancel,Cancel
Studio.TerrainEditor.Dialog.Pause,,,Pause,Pause
Studio.TerrainEditor.Dialog.Resume,,,Resume,Resume
Studio.TerrainEditor.Materials.Air,,,Air,Air
Studio.TerrainEditor.Materials.Cardboard,,,Cardboard,Cardboard
Studio.TerrainEditor.Materials.Carpet,,,Carpet,Carpet
Studio.TerrainEditor.Materials.CeramicTiles,,,Ceramic Tiles,Ceramic Tiles
Studio.TerrainEditor.Materials.ClayRoofTiles,,,Clay Roof Tiles,Clay Roof Tiles
Studio.TerrainEditor.Materials.CorrodedMetal,,,Corroded Metal,Corroded Metal
Studio.TerrainEditor.Materials.DiamondPlate,,,Diamond Plate,Diamond Plate
Studio.TerrainEditor.Materials.Fabric,,,Fabric,Fabric
Studio.TerrainEditor.Materials.Foil,,,Foil,Foil
Studio.TerrainEditor.Materials.ForceField,,,Force Field,Force Field
Studio.TerrainEditor.Materials.Glass,,,Glass,Glass
Studio.TerrainEditor.Materials.Granite,,,Granite,Granite
Studio.TerrainEditor.Materials.Leather,,,Leather,Leather
Studio.TerrainEditor.Materials.Marble,,,Marble,Marble
Studio.TerrainEditor.Materials.Metal,,,Metal,Metal
Studio.TerrainEditor.Materials.Neon,,,Neon,Neon
Studio.TerrainEditor.Materials.Pebble,,,Pebble,Pebble
Studio.TerrainEditor.Materials.Plaster,,,Plaster,Plaster
Studio.TerrainEditor.Materials.Plastic,,,Plastic,Plastic
Studio.TerrainEditor.Materials.Rubber,,,Rubber,Rubber
Studio.TerrainEditor.Materials.RoofShingles,,,Roof Shingles,Roof Shingles
Studio.TerrainEditor.Materials.SmoothPlastic,,,Smooth Plastic,Smooth Plastic
Studio.TerrainEditor.Materials.Wood,,,Wood,Wood
Studio.TerrainEditor.ImportMode.Colormap,,,Colormap,Colormap
Studio.TerrainEditor.ImportMode.Material,,,Material,Material
Studio.TerrainEditor.EditorEnum.ImportMode,,,Import Mode,Import Mode
Studio.TerrainEditor.HeightmapSettings.Colormap,,,Colormap,Colormap
Studio.TerrainEditor.HeightmapSettings.DefaultMaterial,,,Default Material,Default Material
Studio.TerrainEditor.HeightmapSettings.Heightmap,,,Heightmap,Heightmap
Studio.TerrainEditor.HeightmapSettings.Import,,,Import,Import
Studio.TerrainEditor.HeightmapSettings.ImportMode,,,Import Mode,Import Mode
Studio.TerrainEditor.HeightmapSettings.Material,,,Material,Material
Studio.TerrainEditor.Categories.HeightmapSettings,,,Heightmap Settings,Heightmap Settings
Studio.TerrainEditor.ImportWarning.AspectRatio,,,"Image aspect ratio ({ImageAspectRatio}) is not compatible with Size values (X {RegionWidth:int}, Z {RegionHeight:int}). For best results, adjust the Size or import a new image.","Image aspect ratio ({ImageAspectRatio}) is not compatible with Size values (X {RegionWidth:int}, Z {RegionHeight:int}). For best results, adjust the Size or import a new image."
Studio.TerrainEditor.ImportWarning.Scaling,,,"Image resolution ({ImageWidth:int}x{ImageHeight:int}) is too low for the target Size values (X {RegionWidth:int}, Z {RegionHeight:int}). For best results, decrease the size or import a new Heightmap.","Image resolution ({ImageWidth:int}x{ImageHeight:int}) is too low for the target Size values (X {RegionWidth:int}, Z {RegionHeight:int}). For best results, decrease the size or import a new Heightmap."
Studio.TerrainEditor.ImportWarning.DiscardedChannels,,,Heightmaps only use the red channel.,Heightmaps only use the red channel.
Studio.TerrainEditor.ImportWarning.FailedPreview,,,Failed to generate image preview: {Error},Failed to generate image preview: {Error}
Studio.TerrainEditor.ImportWarning.FailedImport,,,Failed to import image: {Error},Failed to import image: {Error}
Studio.TerrainEditor.Image.ImagePreview,,,Image Preview,Image Preview
Studio.TerrainEditor.Image.Filename,,,Filename,Filename
Studio.TerrainEditor.Image.Dimensions,,,Dimensions,Dimensions
Studio.TerrainEditor.Operations.ImportName,,,Import,Import
Studio.TerrainEditor.Operations.ImportDescription,,,Importing voxels to the target transform.,Importing voxels to the target transform.
Studio.TerrainEditor.BiomeSettings.Biomes,,,Biomes,Biomes
Studio.TerrainEditor.BiomeSettings.BiomeSize,,,Biome Size,Biome Size
Studio.TerrainEditor.BiomeSettings.BiomeBlending,,,Blending,Blending
Studio.TerrainEditor.BiomeSettings.Caves,,,Caves,Caves
Studio.TerrainEditor.BiomeSettings.Seed,,,Seed,Seed
Studio.TerrainEditor.BiomeSettings.Generate,,,Generate,Generate
Studio.TerrainEditor.Categories.BiomeSettings,,,Biome Settings,Biome Settings
Studio.TerrainEditor.Biomes.Arctic,,,Arctic,Arctic
Studio.TerrainEditor.Biomes.Canyons,,,Canyons,Canyons
Studio.TerrainEditor.Biomes.Dunes,,,Dunes,Dunes
Studio.TerrainEditor.Biomes.Hills,,,Hills,Hills
Studio.TerrainEditor.Biomes.Lavascape,,,Lavascape,Lavascape
Studio.TerrainEditor.Biomes.Marsh,,,Marsh,Marsh
Studio.TerrainEditor.Biomes.Mountains,,,Mountains,Mountains
Studio.TerrainEditor.Biomes.Plains,,,Plains,Plains
Studio.TerrainEditor.Biomes.Water,,,Water,Water
Studio.TerrainEditor.Snapping.Off,,,Off,Off
Studio.TerrainEditor.Snapping.Voxel,,,Voxel,Voxel
Studio.TerrainEditor.Snapping.Increment,,,Increment,Increment
Studio.TerrainEditor.EditorEnum.Snapping,,,Snapping,Snapping
Studio.TerrainEditor.BrushSettings.Apply,,,Apply,Apply
Studio.TerrainEditor.BrushSettings.BrushMode,,,Brush Mode,Brush Mode
Studio.TerrainEditor.BrushSettings.Edit,,,Edit,Edit
Studio.TerrainEditor.BrushSettings.FixedPlanePosition,,,Plane Position,Plane Position
Studio.TerrainEditor.BrushSettings.ManualPlaneLock,,,Edit Plane,Edit Plane
Studio.TerrainEditor.BrushSettings.PlaneRotation,,,Plane Rotation,Plane Rotation
Studio.TerrainEditor.BrushSettings.Snapping,,,Snapping,Snapping
Studio.TerrainEditor.BrushSettings.WaterLevel,,,Water Level,Water Level
Studio.TerrainEditor.BrushSettings.PullTerrain,,,Pull Terrain,Pull Terrain
Studio.TerrainEditor.BaseTool.SeaLevel,,,Sea Level,Sea Level
Studio.TerrainEditor.SeaLevelSettings.Create,,,Create,Create
Studio.TerrainEditor.SeaLevelSettings.Evaporate,,,Evaporate,Evaporate
Studio.TerrainEditor.SeaLevelSettings.Position,,,Position,Position
Studio.TerrainEditor.SeaLevelSettings.Size,,,Size,Size
Studio.TerrainEditor.Categories.SeaLevelSettings,,,Sea Level Settings,Sea Level Settings
Studio.TerrainEditor.Operations.CreateName,,,Create Sea Level,Create Sea Level
Studio.TerrainEditor.Operations.CreateDescription,,,Filling empty voxels with water in the transform.,Filling empty voxels with water in the transform.
Studio.TerrainEditor.Operations.EvaporateName,,,Evaporate Water,Evaporate Water
Studio.TerrainEditor.Operations.EvaporateDescription,,,Evaporating water within the transform.,Evaporating water within the transform.
Studio.TerrainEditor.Categories.Upgrades,,,Upgrades,Upgrades
Studio.TerrainEditor.Operations.ShorelinesName,,,Upgrading Shorelines,Upgrading Shorelines
Studio.TerrainEditor.Operations.ShorelinesDescription,,,Replacing voxels...,Replacing voxels...
Studio.TerrainEditor.Shorelines.Description,,,Click Upgrade to improve the way water joins with terrain at the shores.,Click Upgrade to improve the way water joins with terrain at the shores.
Studio.TerrainEditor.Shorelines.Explanation,,,"The upgrade will only be applied to this place. This will automatically adjust shallow water shape on existing shorelines. You might want to review and hand-edit the results afterwards, especially around streams, waterfalls and any other non-horizontal water surfaces. The upgrade can be reverted right after its completion using the Undo command.","The upgrade will only be applied to this place. This will automatically adjust shallow water shape on existing shorelines. You might want to review and hand-edit the results afterwards, especially around streams, waterfalls and any other non-horizontal water surfaces. The upgrade can be reverted right after its completion using the Undo command."
Studio.TerrainEditor.Shorelines.Title,,,Shorelines,Shorelines
Studio.TerrainEditor.Upgrades.ActionButton,,,Upgrade,Upgrade
Studio.TerrainEditor.Upgrades.LearnMore,,,Click [link] to learn more.,Click [link] to learn more.
Studio.TerrainEditor.Upgrades.LearnMoreLink,,,here,here
Studio.TerrainEditor.BaseTool.Clear,,,Clear,Clear
Studio.TerrainEditor.ClearSettings.Clear,,,Are you sure you want to clear all Terrain?,Are you sure you want to clear all Terrain?
Studio.TerrainEditor.ClearSettings.ClearButton,,,Clear,Clear
Studio.TerrainEditor.SelectionSettings.SnapToVoxels,,,Snap to Voxels,Snap to Voxels
Studio.TerrainEditor.SeaLevelSettings.SnapToVoxels,,,Snap to Voxels,Snap to Voxels
Studio.TerrainEditor.Categories.ClearSettings,,,Clear Settings,Clear Settings
Studio.TerrainEditor.SelectionWarning.Size,,,Size must be at least 4x4x4.,Size must be at least 4x4x4.
Studio.TerrainEditor.BaseTool.Ramp,,,Ramp,Ramp
Studio.TerrainEditor.Snapping.BrushSize,,,Brush Size,Brush Size
Studio.TerrainEditor.BrushSettings.WaterAutofill,,,Water Autofill,Water Autofill
Studio.TerrainEditor.BrushSettings.FlattenPlane,,,Flatten Plane,Flatten Plane
Studio.TerrainEditor.FlattenPlane.Auto,,,Auto,Auto
Studio.TerrainEditor.FlattenPlane.Fixed,,,Fixed,Fixed
Studio.TerrainEditor.Operations.GenerateName,,,Generate,Generate
Studio.TerrainEditor.ClearSettings.ClearButtonLabel,,,Clear All Terrain,Clear All Terrain
Studio.TerrainEditor.Operations.GenerateDescription,,,Generating terrain in the target transform.,Generating terrain in the target transform.
Studio.TerrainEditor.Note.TransformTitle,,,Press Enter,Press Enter
Studio.TerrainEditor.Note.TransformDescription,,,Apply Transform,Apply Transform
Studio.TerrainEditor.Dialog.TimeRemaining,,,Time remaining: {Time},Time remaining: {Time}
Studio.TerrainEditor.Time.HoursAndMinutes,,,About {Hours:int} hours and {Minutes:int} minutes,About {Hours:int} hours and {Minutes:int} minutes
Studio.TerrainEditor.Time.Minutes,,,About {Minutes:int} minutes,About {Minutes:int} minutes
Studio.TerrainEditor.Time.MinutesAndSeconds,,,About {Minutes:int} minutes and {Seconds:int} seconds,About {Minutes:int} minutes and {Seconds:int} seconds
Studio.TerrainEditor.Time.Seconds,,,About {Seconds:int} seconds,About {Seconds:int} seconds
Studio.TerrainEditor.BrushSettings.BrushSize,,,Brush Size,Brush Size
Studio.TerrainEditor.EnumType.ImportMode,,,Import Mode,Import Mode
Studio.TerrainEditor.EnumType.PivotPosition,,,Pivot Position,Pivot Position
Studio.TerrainEditor.EnumType.MaterialMode,,,Material Mode,Material Mode
