Key,Context,Source,en-us
Studio.App.RBXMainWindow.PanRight,,Pan Right,Pan Right
Studio.App.RBXMainWindow.PasteAtOriginalLocation,"Inserts copied instances (parts, models, etc.) back into the workspace at the exact coordinates they occupied when they were originally copied",Paste At Original Location,Paste At Original Location
Studio.App.RBXMainWindow.PasteInto,,Paste Into,Paste Into
Studio.App.RBXMainWindow.PasteIntoAtOriginalLocation,,Paste At Original Location,Paste At Original Location
Studio.App.RBXMainWindow.PausesTheRun,,Pause the run,Pause the run
Studio.App.RBXMainWindow.Performance,This looks like a long list of fairly basic information you might send to someone if you needed help and didn’t know where to start.,Performance,Performance
Studio.App.RBXMainWindow.PhysicsStats,,Physics Stats,Physics Stats
Studio.App.RBXMainWindow.PickColor,,Pick Color,Pick Color
Studio.App.RBXMainWindow.PicksUpAColorFromAPart,,Picks up a color from a part,Picks up a color from a part
Studio.App.RBXMainWindow.PlayHere,,Play Here,Play Here
Studio.App.RBXMainWindow.PlayInSoloMode,,Play in Solo Mode,Play in Solo Mode
Studio.App.RBXMainWindow.PlaySolo,,Play Solo,Play Solo
Studio.App.RBXMainWindow.PlaySoloCameraSpawn,,"Start Solo Play, spawning the character from the Camera Position","Start Solo Play, spawning the character from the Camera Position"
Studio.App.RBXMainWindow.Properties,,Properties,Properties
Studio.App.RBXMainWindow.PropertyFilter,,Property Filter,Property Filter
Studio.App.RBXMainWindow.Publish,,Publish,Publish
Studio.App.RBXMainWindow.PublishActiveDocumentToRoblox,,Publish active document to Roblox,Publish active document to Roblox
Studio.App.RBXMainWindow.PublishActiveDocumentToRobloxAs,,Publish active document to Roblox as,Publish active document to Roblox as
Studio.App.RBXMainWindow.PublishAllToRoblox,,"Publish all places, developer products, and other parts of your game to Roblox","Publish all places, developer products, and other parts of your game to Roblox"
Studio.App.RBXMainWindow.PublishAsElps,,Publish As...,Publish As...
Studio.App.RBXMainWindow.PublishAsPluginElps,,Publish as Plugin...,Publish as Plugin...
Studio.App.RBXMainWindow.PublishChangesToPackage,,Publish Changes to Package,Publish Changes to Package
Studio.App.RBXMainWindow.PublishSelectionToRobloxAsPlugin,,Publish the selection to Roblox as a plugin,Publish the selection to Roblox as a plugin
Studio.App.RBXMainWindow.PublishSelectionToRobloxElps,,Save to Roblox...,Save to Roblox...
Studio.App.RBXMainWindow.PublishTheSelectionToRoblox,,Publish the Selection to Roblox,Publish the Selection to Roblox
Studio.App.RBXMainWindow.PublishToPackage,,Publish to Package,Publish to Package
Studio.App.RBXMainWindow.PublishToRoblox,,Publish to Roblox,Publish to Roblox
