Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.PluginInstallation.Header.UpToDate,Up to date,Up to date,Actualizado,Mis à jour,Aggiornato,最新,최신 상태,Atualizado,Обновлено,最新版本,最新版本,最新
Studio.PluginInstallation.Moved.Title,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio
Studio.PluginInstallation.Moved.MovedMessage,We've moved.,We've moved.,Nos trasladamos.,Nous avons déménagé.,Ci siamo spostati.,移動しました。,이동시켰습니다.,Nos mudamos.,Мы переехали.,我们已经搬移。,我们已经搬移。,我們搬家了。
Studio.PluginInstallation.Details.HttpRequests,HTTP Requests,HTTP Requests,Solicitudes HTTP,Demandes HTTP,Richieste HTTP,HTTPリクエスト,HTTP 요청,Requisições HTTP,HTTP-запросы,HTTP 请求,HTTP 请求,HTTP 請求
Studio.PluginInstallation.PluginEntry.HttpRequest,HTTP Requests,HTTP Requests,Solicitudes HTTP,Demandes HTTP,Richieste HTTP,HTTPリクエスト,HTTP 요청,Requisições HTTP, ,HTTP 请求,HTTP 请求,HTTP 請求
Studio.PluginInstallation.Details.Description,Description,Description,Descripción,Description,Descrizione,詳細,설명,Descrição,Описание,描述,描述,說明
Studio.PluginInstallation.PluginEntry.ScriptInjectionAllowed,Script Injection Allowed,Script Injection Allowed,Inyección del script permitida,Injection de script autorisée,Iniezione di script consentita,スクリプト注入を許可済み,스크립트 삽입이 허용됨,Injeção de scripts permitida, ,已允许脚本注入,已允许脚本注入,已允許指令碼注入
Studio.PluginInstallation.Details.ScriptInjectionInfo,"By allowing Script Injection, this plugin may insert or modify scripts that perform malicious actions anywhere in your game (scripts can pretty much do anything). Disabling Script Injection might result in a non-working plugin.","By allowing Script Injection, this plugin may insert or modify scripts that perform malicious actions anywhere in your game (scripts can pretty much do anything). Disabling Script Injection might result in a non-working plugin.","Al permitir la Inyección del script, este plugin puede insertar o modificar los scripts para realizar acciones que perjudiquen tu juego (los scripts pueden hacer cualquier cosa). Si desactivas la Inyección del script, el plugin puede dejar de funcionar.","En autorisant l'injection de script, ce plugin peut insérer ou modifier des scripts qui effectuent des actions malveillantes n'importe où dans votre jeu (les scripts peuvent à peu près tout faire). La désactivation de l'injection de script peut entraîner un dysfonctionnement du plugin.","Consentendo l'iniezione di script, questo plugin potrà inserire o modificare gli script che eseguono azioni malevole in ogni parte del gioco (gli script possono fare praticamente ogni cosa). Disabilitare l'iniezione di script potrebbe non far funzionare il plugin.",スクリプト注入を許可することで、このプラグインはあなたのゲーム内のどこでも不正な動作を行うスクリプトを挿入または変更することができます（スクリプトはほぼ何でもできます）。スクリプト注入を無効化すると、プラグインが機能しなくなるかもしれません。　,"스크립트 삽입을 허용하면, 플러그인은 스크립트를 삽입하거나 수정하여 게임 내 곳곳에서 악의적인 작업을 수행할 수 있습니다(스크립트는 거의 모든 작업을 수행할 수 있음). 스크립트 삽입을 비활성화하면 플러그인이 작동하지 않을 수 있습니다.","Ao permitir injeção de script, seu plugin pode inserir ou modificar scripts que causam ações maliciosas em qualquer lugar do seu jogo (scripts podem fazer qualquer coisa). Desativar injeção de scripts pode resultar em um plugin não-funcional.", ,若允许脚本注入，此插件可能会通过注入或修改脚本在游戏中的任何地方进行恶意操作（脚本几乎是万能的）。禁用脚本注入则可能会使插件无法生效。,若允许脚本注入，此插件可能会通过注入或修改脚本在游戏中的任何地方进行恶意操作（脚本几乎是万能的）。禁用脚本注入则可能会使插件无法生效。,允許指令碼注入後，此外掛程式將能在您的遊戲裡插入或修改指令碼，使他們惡意影響遊戲運行。（指令碼可以做的事情很多！）若停用指令碼注入，外掛程式將可能無法運作。
Studio.PluginInstallation.Main.FindPluginsWithButtonMessage,"To find more plugins, open Marketplace by clicking the '+' button.","To find more plugins, open Marketplace by clicking the '+' button.","Para encontrar más plugins, abre Mercado haciendo clic en el botón \"+\".","Pour trouver d'autres plugins, ouvre Marketplace en cliquant sur le bouton \"+\".","Per trovare altri plugin, apri il Mercato cliccando il pulsante \"+\".",もっとプラグインを見つけるには、「+」ボタンをクリックして マーケットプレースを開きます。,더 많은 플러그인을 찾으려면 '+' 버튼을 클릭하여 마켓플레이스를 엽니다.,"Para encontrar mais plugins, abra o Mercado clicando no botão '+'.", ,要寻找更多插件，请点击 '+' 按钮打开商店。,要寻找更多插件，请点击 '+' 按钮打开商店。,若要尋找更多外掛程式，請點擊「+」按鈕開啟商城。
Studio.PluginInstallation.PluginEntry.ScriptInjectionDenied,Script Injection Denied,Script Injection Denied,Inyección del script denegada,Injection de script refusée,Iniezione di script negata,スクリプト注入を却下済み,스크립트 삽입이 거부됨,Injeção de script negada, ,已拒绝脚本注入,已拒绝脚本注入,已拒絕指令碼注入
Studio.PluginInstallation.PluginEntry.NoPermissionsRequested,No Permissions Requested,No Permissions Requested,No se han solicitados permisos,Aucune autorisation demandée,Nessun permesso richiesto,権限リクエストがありません,요청된 권한 없음,Sem pedidos de permissão, ,未请求权限,未请求权限,未請求權限
